WaveNumber, DarkFastSlow
4.176336e+02,6.117452e+01
4.177541e+02,6.170981e+01
4.178746e+02,6.216401e+01
4.179952e+02,6.243400e+01
4.181157e+02,6.244975e+01
4.182362e+02,6.219559e+01
4.183568e+02,6.171361e+01
4.184773e+02,6.110044e+01
4.185978e+02,6.048478e+01
4.187184e+02,5.997432e+01
4.188389e+02,5.962381e+01
4.189594e+02,5.941832e+01
4.190799e+02,5.929788e+01
4.192005e+02,5.919029e+01
4.193210e+02,5.904694e+01
4.194415e+02,5.885883e+01
4.195620e+02,5.865970e+01
4.196826e+02,5.851222e+01
4.198031e+02,5.847615e+01
4.199236e+02,5.857519e+01
4.200442e+02,5.877767e+01
4.201647e+02,5.901250e+01
4.202852e+02,5.919712e+01
4.204058e+02,5.927338e+01
4.205263e+02,5.921156e+01
4.206468e+02,5.901302e+01
4.207673e+02,5.870343e+01
4.208879e+02,5.832650e+01
4.210084e+02,5.793808e+01
4.211289e+02,5.759572e+01
4.212495e+02,5.736029e+01
4.213700e+02,5.728228e+01
4.214905e+02,5.738939e+01
4.216111e+02,5.767905e+01
4.217316e+02,5.811091e+01
4.218521e+02,5.861937e+01
4.219726e+02,5.912069e+01
4.220932e+02,5.954104e+01
4.222137e+02,5.983239e+01
4.223342e+02,5.998006e+01
4.224547e+02,6.000443e+01
4.225753e+02,5.995185e+01
4.226958e+02,5.987995e+01
4.228163e+02,5.983192e+01
4.229369e+02,5.982378e+01
4.230574e+02,5.983865e+01
4.231779e+02,5.983937e+01
4.232985e+02,5.978953e+01
4.234190e+02,5.967035e+01
4.235395e+02,5.949162e+01
4.236600e+02,5.928680e+01
4.237806e+02,5.910464e+01
4.239011e+02,5.899248e+01
4.240216e+02,5.899149e+01
4.241422e+02,5.912338e+01
4.242627e+02,5.938696e+01
4.243832e+02,5.975835e+01
4.245038e+02,6.019685e+01
4.246243e+02,6.065649e+01
4.247448e+02,6.109060e+01
4.248653e+02,6.145987e+01
4.249859e+02,6.173375e+01
4.251064e+02,6.188758e+01
4.252269e+02,6.190738e+01
4.253474e+02,6.179215e+01
4.254680e+02,6.156023e+01
4.255885e+02,6.124767e+01
4.257090e+02,6.090657e+01
4.258296e+02,6.059766e+01
4.259501e+02,6.037248e+01
4.260706e+02,6.026813e+01
4.261912e+02,6.029491e+01
4.263117e+02,6.043293e+01
4.264322e+02,6.063531e+01
4.265527e+02,6.084277e+01
4.266733e+02,6.100581e+01
4.267938e+02,6.109756e+01
4.269143e+02,6.112495e+01
4.270349e+02,6.111964e+01
4.271554e+02,6.112518e+01
4.272759e+02,6.117347e+01
4.273965e+02,6.126934e+01
4.275170e+02,6.138873e+01
4.276375e+02,6.148887e+01
4.277580e+02,6.152711e+01
4.278786e+02,6.147744e+01
4.279991e+02,6.134410e+01
4.281196e+02,6.115706e+01
4.282401e+02,6.096040e+01
4.283607e+02,6.078950e+01
4.284812e+02,6.065943e+01
4.286017e+02,6.055899e+01
4.287223e+02,6.046251e+01
4.288428e+02,6.034291e+01
4.289633e+02,6.018843e+01
4.290839e+02,6.000942e+01
4.292044e+02,5.983367e+01
4.293249e+02,5.969400e+01
4.294454e+02,5.961208e+01
4.295660e+02,5.959175e+01
4.296865e+02,5.961742e+01
4.298070e+02,5.966283e+01
4.299276e+02,5.969994e+01
4.300481e+02,5.971233e+01
4.301686e+02,5.969880e+01
4.302892e+02,5.967133e+01
4.304097e+02,5.964853e+01
4.305302e+02,5.964674e+01
4.306507e+02,5.967582e+01
4.307713e+02,5.973521e+01
4.308918e+02,5.981689e+01
4.310123e+02,5.990655e+01
4.311328e+02,5.998919e+01
4.312534e+02,6.005027e+01
4.313739e+02,6.007901e+01
4.314944e+02,6.007022e+01
4.316150e+02,6.002456e+01
4.317355e+02,5.994782e+01
4.318560e+02,5.984973e+01
4.319766e+02,5.974244e+01
4.320971e+02,5.963666e+01
4.322176e+02,5.954045e+01
4.323381e+02,5.945949e+01
4.324587e+02,5.939877e+01
4.325792e+02,5.936582e+01
4.326997e+02,5.937260e+01
4.328203e+02,5.943278e+01
4.329408e+02,5.955678e+01
4.330613e+02,5.974613e+01
4.331819e+02,5.998838e+01
4.333024e+02,6.025919e+01
