WaveNumber,DarkFastFast,DarkSlowFast,DarkFastSlow,DarkSlowSlow,LiteFastFast,LiteSlowFast,LiteFastSlow,LiteSlowSlow
427.3965,67.97745,61.80115,61.26934,62.73429,63.61575,58.93296,66.13224,72.3521
427.517,67.74105,62.11033,61.38873,63.05949,63.96541,59.28819,66.30467,72.76994
427.6375,67.5408,62.44376,61.48887,63.27794,64.2909,59.67294,66.48354,73.04666
427.758,67.39817,62.7398,61.52711,63.38563,64.54315,60.01724,66.67496,73.1464
427.8786,67.32343,62.94153,61.47744,63.39809,64.69773,60.2622,66.87932,73.06715
427.9991,67.31441,63.02018,61.3441,63.34364,64.76156,60.38432,67.08607,72.84092
428.1196,67.35686,62.97802,61.15706,63.2523,64.7637,60.39832,67.27152,72.5237
428.2401,67.42441,62.84457,60.9604,63.14611,64.73759,60.35041,67.40203,72.17913
428.3607,67.48433,62.65764,60.7895,63.03012,64.70085,60.2942,67.44801,71.85805
428.4812,67.49947,62.44965,60.65943,62.89458,64.64868,60.27585,67.39375,71.59508
428.6017,67.43702,62.23555,60.55899,62.72351,64.55859,60.3187,67.24928,71.406
428.7223,67.2791,62.01361,60.46251,62.50856,64.40671,60.41967,67.04877,71.29221
428.8428,67.02837,61.77666,60.34291,62.258,64.18451,60.55662,66.84587,71.2489
428.9633,66.7121,61.52364,60.18843,61.99968,63.91005,60.69983,66.69566,71.26961
429.0839,66.37531,61.26733,60.00942,61.77184,63.62096,60.82357,66.63404,71.3465
429.2044,66.07491,61.03441,59.83367,61.6138,63.36387,60.91114,66.67162,71.47007
429.3249,65.8631,60.85627,59.694,61.55061,63.17336,60.95776,66.79031,71.62692
429.4454,65.77348,60.75588,59.61208,61.58612,63.05975,60.96996,66.95787,71.80309
429.566,65.81777,60.74308,59.59175,61.70415,63.01171,60.96329,67.14024,71.98572
429.6865,65.98232,60.8103,59.61742,61.8763,63.00743,60.95996,67.31651,72.16817
429.807,66.2358,60.93758,59.66283,62.072,63.03016,60.98296,67.48247,72.3487
429.9276,66.53458,61.0974,59.69994,62.26355,63.07756,61.05354,67.64378,72.52789
430.0481,66.83604,61.26353,59.71233,62.43184,63.16155,61.18118,67.80485,72.70171
430.1686,67.10683,61.41354,59.6988,62.56538,63.29621,61.35928,67.95881,72.85691
430.2892,67.32608,61.52893,59.67133,62.65717,63.48563,61.56347,68.0844,72.97116
430.4097,67.48804,61.59688,59.64853,62.7053,63.71396,61.75958,68.15394,73.02103
430.5302,67.59753,61.60944,59.64674,62.712,63.94755,61.91296,68.1448,72.99295
430.6507,67.66557,61.56613,59.67582,62.68713,64.14523,62.00019,68.05056,72.89413
