WaveNumber, DarkFastFast
4.788624e+02,6.777220e+01
4.789829e+02,6.757468e+01
4.791035e+02,6.737310e+01
4.792240e+02,6.719326e+01
4.793445e+02,6.705746e+01
4.794650e+02,6.697858e+01
4.795856e+02,6.696067e+01
4.797061e+02,6.700119e+01
4.798266e+02,6.709285e+01
4.799471e+02,6.722424e+01
4.800677e+02,6.737907e+01
4.801882e+02,6.753787e+01
4.803087e+02,6.767904e+01
4.804293e+02,6.778236e+01
4.805498e+02,6.783585e+01
4.806703e+02,6.783800e+01
4.807909e+02,6.779948e+01
4.809114e+02,6.773863e+01
4.810319e+02,6.767666e+01
4.811525e+02,6.762910e+01
4.812730e+02,6.760069e+01
4.813935e+02,6.758623e+01
4.815140e+02,6.757458e+01
4.816346e+02,6.755629e+01
4.817551e+02,6.752793e+01
4.818756e+02,6.749430e+01
4.819962e+02,6.746555e+01
4.821167e+02,6.745214e+01
4.822372e+02,6.745863e+01
4.823577e+02,6.748254e+01
4.824783e+02,6.751514e+01
4.825988e+02,6.754668e+01
4.827193e+02,6.757081e+01
4.828398e+02,6.758670e+01
4.829604e+02,6.759812e+01
4.830809e+02,6.761021e+01
4.832014e+02,6.762503e+01
4.833220e+02,6.763963e+01
4.834425e+02,6.764639e+01
4.835630e+02,6.763656e+01
4.836836e+02,6.760446e+01
4.838041e+02,6.755016e+01
4.839246e+02,6.748033e+01
4.840452e+02,6.740517e+01
4.841657e+02,6.733591e+01
4.842862e+02,6.728140e+01
4.844067e+02,6.724667e+01
4.845273e+02,6.723518e+01
4.846478e+02,6.724926e+01
4.847683e+02,6.729016e+01
4.848889e+02,6.735662e+01
4.850094e+02,6.744296e+01
4.851299e+02,6.753729e+01
4.852504e+02,6.762314e+01
4.853710e+02,6.768456e+01
4.854915e+02,6.771046e+01
4.856120e+02,6.769896e+01
4.857325e+02,6.765808e+01
4.858531e+02,6.760269e+01
4.859736e+02,6.754945e+01
4.860941e+02,6.750984e+01
4.862147e+02,6.748830e+01
4.863352e+02,6.748201e+01
4.864557e+02,6.748548e+01
4.865763e+02,6.749444e+01
4.866968e+02,6.750927e+01
4.868173e+02,6.753386e+01
4.869379e+02,6.757249e+01
4.870584e+02,6.762494e+01
4.871789e+02,6.768452e+01
4.872994e+02,6.773789e+01
4.874200e+02,6.777081e+01
4.875405e+02,6.777393e+01
4.876610e+02,6.774736e+01
4.877816e+02,6.770148e+01
4.879021e+02,6.765396e+01
4.880226e+02,6.762328e+01
4.881431e+02,6.762081e+01
4.882637e+02,6.764736e+01
4.883842e+02,6.769227e+01
4.885047e+02,6.773829e+01
4.886252e+02,6.776711e+01
4.887458e+02,6.776582e+01
4.888663e+02,6.773163e+01
4.889868e+02,6.767218e+01
4.891074e+02,6.760301e+01
4.892279e+02,6.754208e+01
4.893484e+02,6.750652e+01
4.894690e+02,6.750724e+01
4.895895e+02,6.754676e+01
4.897100e+02,6.761914e+01
4.898306e+02,6.771149e+01
4.899511e+02,6.780761e+01
4.900716e+02,6.789015e+01
4.901921e+02,6.794653e+01
4.903127e+02,6.797084e+01
4.904332e+02,6.796557e+01
4.905537e+02,6.794016e+01
4.906743e+02,6.790756e+01
4.907948e+02,6.788016e+01
4.909153e+02,6.786499e+01
4.910358e+02,6.786258e+01
4.911564e+02,6.786787e+01
4.912769e+02,6.787430e+01
4.913974e+02,6.787756e+01
4.915179e+02,6.787955e+01
4.916385e+02,6.788833e+01
4.917590e+02,6.791611e+01
4.918795e+02,6.797356e+01
4.920001e+02,6.806405e+01
4.921206e+02,6.818018e+01
4.922411e+02,6.830396e+01
4.923617e+02,6.841251e+01
4.924822e+02,6.848276e+01
4.926027e+02,6.850078e+01
4.927233e+02,6.846518e+01
4.928438e+02,6.838744e+01
4.929643e+02,6.828677e+01
4.930848e+02,6.818480e+01
4.932054e+02,6.809994e+01
4.933259e+02,6.804148e+01
4.934464e+02,6.800943e+01
4.935670e+02,6.799618e+01
4.936875e+02,6.799102e+01
4.938080e+02,6.798470e+01
4.939285e+02,6.797272e+01
4.940491e+02,6.795600e+01
4.941696e+02,6.793914e+01
4.942901e+02,6.792704e+01
4.944106e+02,6.792185e+01
4.945312e+02,6.792187e+01
4.946517e+02,6.792230e+01
4.947722e+02,6.791807e+01
4.948928e+02,6.790593e+01
4.950133e+02,6.788661e+01
4.951339e+02,6.786401e+01
4.952544e+02,6.784370e+01
4.953749e+02,6.782980e+01
4.954954e+02,6.782329e+01
4.956160e+02,6.782143e+01
4.957365e+02,6.781969e+01
4.958570e+02,6.781378e+01
4.959775e+02,6.780211e+01
4.960981e+02,6.778648e+01
4.962186e+02,6.777139e+01
4.963391e+02,6.776184e+01
