WaveNumber, DarkSlowFast
4.474043e+02,6.190200e+01
4.475248e+02,6.196297e+01
4.476454e+02,6.204491e+01
4.477659e+02,6.211657e+01
4.478864e+02,6.214077e+01
4.480069e+02,6.209153e+01
4.481275e+02,6.196412e+01
4.482480e+02,6.177669e+01
4.483685e+02,6.156324e+01
4.484890e+02,6.136050e+01
4.486096e+02,6.119789e+01
4.487301e+02,6.108798e+01
4.488506e+02,6.102952e+01
4.489712e+02,6.101168e+01
4.490917e+02,6.102251e+01
4.492122e+02,6.105118e+01
4.493328e+02,6.108867e+01
4.494533e+02,6.112587e+01
4.495738e+02,6.115205e+01
4.496943e+02,6.115704e+01
4.498149e+02,6.113602e+01
4.499354e+02,6.109417e+01
4.500559e+02,6.104768e+01
4.501765e+02,6.101798e+01
4.502970e+02,6.102457e+01
4.504175e+02,6.107407e+01
4.505381e+02,6.115605e+01
4.506586e+02,6.124519e+01
4.507791e+02,6.131336e+01
4.508996e+02,6.134274e+01
4.510202e+02,6.133482e+01
4.511407e+02,6.131142e+01
4.512612e+02,6.130621e+01
4.513817e+02,6.135097e+01
4.515023e+02,6.145927e+01
4.516228e+02,6.162056e+01
4.517433e+02,6.180238e+01
4.518639e+02,6.196564e+01
4.519844e+02,6.207581e+01
4.521049e+02,6.211548e+01
4.522255e+02,6.208814e+01
4.523460e+02,6.201310e+01
4.524665e+02,6.191684e+01
4.525870e+02,6.182187e+01
4.527076e+02,6.174331e+01
4.528281e+02,6.168628e+01
4.529486e+02,6.164977e+01
4.530692e+02,6.163043e+01
4.531897e+02,6.162451e+01
4.533102e+02,6.162805e+01
4.534308e+02,6.163428e+01
4.535513e+02,6.163392e+01
4.536718e+02,6.161768e+01
4.537923e+02,6.158033e+01
4.539129e+02,6.152523e+01
4.540334e+02,6.146637e+01
4.541539e+02,6.142593e+01
4.542744e+02,6.142498e+01
4.543950e+02,6.147761e+01
4.545155e+02,6.158400e+01
4.546360e+02,6.173015e+01
4.547566e+02,6.189216e+01
4.548771e+02,6.204423e+01
4.549976e+02,6.216784e+01
4.551182e+02,6.225420e+01
4.552387e+02,6.230497e+01
4.553592e+02,6.232668e+01
4.554797e+02,6.232621e+01
4.556003e+02,6.230568e+01
4.557208e+02,6.226236e+01
4.558413e+02,6.219175e+01
4.559619e+02,6.209253e+01
4.560824e+02,6.196975e+01
4.562029e+02,6.183755e+01
4.563235e+02,6.171516e+01
4.564440e+02,6.162222e+01
4.565645e+02,6.157373e+01
4.566850e+02,6.157438e+01
4.568056e+02,6.161705e+01
4.569261e+02,6.168519e+01
4.570466e+02,6.175869e+01
4.571671e+02,6.181741e+01
4.572877e+02,6.184670e+01
4.574082e+02,6.184163e+01
4.575287e+02,6.180766e+01
4.576493e+02,6.176131e+01
4.577698e+02,6.172339e+01
4.578903e+02,6.171319e+01
4.580109e+02,6.173942e+01
4.581314e+02,6.179953e+01
4.582519e+02,6.188359e+01
4.583724e+02,6.198114e+01
4.584930e+02,6.208453e+01
4.586135e+02,6.218838e+01
4.587340e+02,6.228797e+01
4.588546e+02,6.237666e+01
4.589751e+02,6.244352e+01
4.590956e+02,6.247584e+01
4.592162e+02,6.246188e+01
4.593367e+02,6.239515e+01
4.594572e+02,6.227857e+01
4.595777e+02,6.212482e+01
4.596983e+02,6.195456e+01
4.598188e+02,6.178939e+01
4.599393e+02,6.164800e+01
4.600598e+02,6.154149e+01
4.601804e+02,6.147154e+01
4.603009e+02,6.143353e+01
4.604214e+02,6.141980e+01
4.605420e+02,6.142365e+01
4.606625e+02,6.143943e+01
4.607830e+02,6.146253e+01
4.609036e+02,6.148780e+01
4.610241e+02,6.150891e+01
4.611446e+02,6.152062e+01
4.612651e+02,6.152186e+01
4.613857e+02,6.151847e+01
4.615062e+02,6.152307e+01
4.616267e+02,6.155035e+01
4.617473e+02,6.161095e+01
4.618678e+02,6.170438e+01
4.619883e+02,6.181648e+01
4.621089e+02,6.192257e+01
4.622294e+02,6.199747e+01
4.623499e+02,6.202283e+01
4.624704e+02,6.199480e+01
4.625910e+02,6.192548e+01
4.627115e+02,6.183993e+01
4.628320e+02,6.176641e+01
4.629525e+02,6.172573e+01
4.630731e+02,6.172691e+01
4.631936e+02,6.176499e+01
4.633141e+02,6.182701e+01
4.634347e+02,6.189729e+01
4.635552e+02,6.196414e+01
4.636757e+02,6.202291e+01
4.637963e+02,6.207392e+01
4.639168e+02,6.211964e+01
