WaveNumber, LightSlowSlow
4.429447e+02,7.276422e+01
4.430652e+02,7.264340e+01
4.431858e+02,7.246561e+01
4.433063e+02,7.223273e+01
4.434268e+02,7.196723e+01
4.435474e+02,7.170403e+01
4.436679e+02,7.147919e+01
4.437884e+02,7.131855e+01
4.439089e+02,7.122954e+01
4.440295e+02,7.120545e+01
4.441500e+02,7.123242e+01
4.442705e+02,7.129668e+01
4.443911e+02,7.138651e+01
4.445116e+02,7.149080e+01
4.446321e+02,7.159711e+01
4.447527e+02,7.168921e+01
4.448732e+02,7.175103e+01
4.449937e+02,7.177222e+01
4.451142e+02,7.175255e+01
4.452348e+02,7.170413e+01
4.453553e+02,7.164628e+01
4.454758e+02,7.159983e+01
4.455963e+02,7.157855e+01
4.457169e+02,7.158566e+01
4.458374e+02,7.161660e+01
4.459579e+02,7.166528e+01
4.460785e+02,7.172837e+01
4.461990e+02,7.180775e+01
4.463195e+02,7.190674e+01
4.464401e+02,7.202237e+01
4.465606e+02,7.213959e+01
4.466811e+02,7.223412e+01
4.468016e+02,7.227769e+01
4.469222e+02,7.225302e+01
4.470427e+02,7.216402e+01
4.471632e+02,7.203854e+01
4.472838e+02,7.191898e+01
4.474043e+02,7.184327e+01
4.475248e+02,7.183215e+01
4.476454e+02,7.187822e+01
4.477659e+02,7.195238e+01
4.478864e+02,7.201281e+01
4.480069e+02,7.202601e+01
4.481275e+02,7.198058e+01
4.482480e+02,7.189133e+01
4.483685e+02,7.179196e+01
4.484890e+02,7.171983e+01
4.486096e+02,7.170152e+01
4.487301e+02,7.174178e+01
4.488506e+02,7.182591e+01
4.489712e+02,7.192676e+01
4.490917e+02,7.201796e+01
4.492122e+02,7.208031e+01
4.493328e+02,7.210412e+01
4.494533e+02,7.208782e+01
4.495738e+02,7.203251e+01
4.496943e+02,7.193945e+01
4.498149e+02,7.181143e+01
4.499354e+02,7.165755e+01
4.500559e+02,7.149677e+01
4.501765e+02,7.135603e+01
4.502970e+02,7.126724e+01
4.504175e+02,7.125458e+01
4.505381e+02,7.132480e+01
4.506586e+02,7.146409e+01
4.507791e+02,7.164127e+01
4.508996e+02,7.181847e+01
4.510202e+02,7.195994e+01
4.511407e+02,7.204436e+01
4.512612e+02,7.206659e+01
4.513817e+02,7.203646e+01
4.515023e+02,7.197176e+01
4.516228e+02,7.189217e+01
4.517433e+02,7.181548e+01
4.518639e+02,7.175471e+01
4.519844e+02,7.172044e+01
4.521049e+02,7.172226e+01
4.522255e+02,7.176749e+01
4.523460e+02,7.186090e+01
4.524665e+02,7.200102e+01
4.525870e+02,7.218014e+01
4.527076e+02,7.238353e+01
4.528281e+02,7.259315e+01
4.529486e+02,7.279280e+01
4.530692e+02,7.296934e+01
4.531897e+02,7.311535e+01
